sep=;
# Multi-simbolo: BTCUSDT, ETHUSDT, XRPUSDT, TRXUSDT, GALAUSDT, SUIUSDT, SOLUSDT, ADAUSDT, DOGEUSDT, BNBUSDT
# Parametros: {"detection_method": "atr_dynamic", "consol_min_bars": 8, "consol_max_bars": 50, "consol_max_range_pct": 6, "consol_atr_ratio": 0.6, "consol_body_ratio": 0.5, "consol_max_outside_bars": 3, "lookforward_bars": 100, "max_price_range_pct": 6, "entry_mode": "va_breakout", "position_mode": "concurrent", "swing_bars": 5, "sl_mode": "zone_opposite", "atr_dyn_period": 100, "atr_dyn_ma_period": 20, "atr_dyn_multiplier": 1.5, "atr_dyn_min_bars": 20, "atr_dyn_max_breakout": 5, "atr_dyn_merge_overlap": true, "use_atr_band": false, "atr_band_period": 200, "atr_band_multiplier": 1, "atr_band_ma_period": 20, "use_reentry": true, "max_reentry_bars": 3, "use_ttm_prefilter": true, "ttm_atr_length": 30, "ttm_kc_multiplier": 1, "ttm_min_squeeze_bars": 10, "use_bbwp_scoring": false, "bbwp_lookback": 252, "bbwp_squeeze_threshold": 20, "use_inside_pct_filter": false, "min_inside_pct": 70, "min_score_filter": 30, "use_continuation_score": false, "sl_poc_buffer_pct": 50, "vp_bins_per_zone": 30, "tp_rr_ratio": 1}
# Fecha: 2026-02-08T11:23:54.045562
zona_num;simbolo;fecha_entrada;fecha_cierre;precio_min;precio_max;rango_pct;direccion;precio_breakout;modo_entrada;precio_entrada;offset_barras;sl_price;tp_price;resultado;pnl_r;equity_r;r_multiple;alcanzo_2r;alcanzo_3r;barras_cierre;velas_en_zona;duracion_horas;score
22;BTCUSDT;2025-11-10 16:46;2025-11-10 17:06;105379,031;105692,4255;0,3;DOWN;105366,4;VA Breakout;105366,4;0;105638,36;105094,44;LOSS;-1;20,0;167,22;Si;Si;21;40;0,7;65.0
23;SOLUSDT;2025-11-10 16:46;2025-11-10 16:48;165,61;166,47134999999997;0,52;DOWN;165,69;VA Breakout;165,69;0;166,12;165,26;WIN;2;22,0;230,94;Si;Si;3;38;0,6;65.0
24;GALAUSDT;2025-11-10 16:54;2025-11-10 16:55;0,01036069;0,010467;1,02;UP;0,010428;VA Breakout;0,010428;0;0,01;0,01;WIN;2;24,0;9,69;Si;Si;2;52;0,8;37.0
25;DOGEUSDT;2025-11-10 16:57;2025-11-10 17:05;0,17817;0,17937565;0,67;UP;0,1792;VA Breakout;0,1792;0;0,18;0,18;WIN;2;26,0;12,29;Si;Si;9;53;0,9;62.0
26;BNBUSDT;2025-11-10 17:02;2025-11-10 17:06;982,9;986,8;0,4;UP;985,9;VA Breakout;985,9;0;984,14;987,65;WIN;2;28,0;12,93;Si;Si;5;55;0,9;46.0
27;ETHUSDT;2025-11-10 17:03;2025-11-10 17:11;3528,0674499999996;3547,2830499999995;0,54;UP;3545,57;VA Breakout;3545,57;0;3535,33;3555,81;LOSS;-1;27,0;9,94;Si;Si;9;48;0,8;54.0
28;ADAUSDT;2025-11-10 17:03;2025-11-10 17:05;0,5836;0,5881495000000001;0,78;UP;0,5878;VA Breakout;0,5878;0;0,59;0,59;WIN;2;29,0;14,87;Si;Si;3;57;0,9;58.0
29;SUIUSDT;2025-11-10 17:05;2025-11-10 17:37;2,1134;2,135468;1,04;UP;2,1339;VA Breakout;2,1339;0;2,12;2,15;WIN;2;31,0;5,18;Si;Si;33;55;0,9;62.0
30;SOLUSDT;2025-11-10 17:46;2025-11-10 17:47;165,70725000000002;166,5152;0,49;UP;166,43;VA Breakout;166,43;0;166,11;166,75;WIN;2;33,0;16,82;Si;Si;2;28;0,5;64.0
31;GALAUSDT;2025-11-10 18:34;2025-11-10 18:37;0,01061;0,010749424999999998;1,31;DOWN;0,010631;VA Breakout;0,010631;0;0,01;0,01;WIN;2;35,0;99,64;Si;Si;4;32;0,5;63.0
32;ADAUSDT;2025-11-10 18:35;2025-11-10 19:09;0,5933470000000001;0,5964499999999999;0,52;DOWN;0,5937;VA Breakout;0,5937;0;0,6;0,59;LOSS;-1;34,0;171,68;Si;Si;35;36;0,6;34.0
33;XRPUSDT;2025-11-10 19:04;2025-11-10 19:36;2,5096925000000003;2,5379985;1,12;UP;2,5329;VA Breakout;2,5329;0;2,52;2,55;LOSS;-1;33,0;2,74;Si;No;33;156;2,6;63.0
34;DOGEUSDT;2025-11-10 19:25;2025-11-10 19:36;0,18133;0,18297544999999998;0,9;DOWN;0,18127;VA Breakout;0,18127;0;0,18;0,18;WIN;2;35,0;110,98;Si;Si;12;83;1,4;63.0
35;ETHUSDT;2025-11-10 19:47;2025-11-10 19:55;3552,75;3580,9083000000005;0,79;DOWN;3556,04;VA Breakout;3556,04;0;3577,91;3534,17;LOSS;-1;34,0;83,03;Si;Si;9;103;1,7;39.0
36;SOLUSDT;2025-11-10 19:54;2025-11-10 20:00;166,08;168,09854999999996;1,21;DOWN;166,7;VA Breakout;166,7;0;167,61;165,79;LOSS;-1;33,0;109,25;Si;Si;7;127;2,1;50.0
37;BTCUSDT;2025-11-10 19:57;2025-11-10 20:18;105521,2;106241,34449999998;0,68;UP;106033,3;VA Breakout;106033,3;0;105421,68;106644,92;WIN;2;35,0;2,37;Si;No;22;107;1,8;63.0
38;DOGEUSDT;2025-11-10 20:56;2025-11-10 21:02;0,1813704;0,18277085;0,77;DOWN;0,18117;VA Breakout;0,18117;0;0,18;0,18;WIN;2;37,0;86,56;Si;Si;7;23;0,4;65.0
39;SUIUSDT;2025-11-10 21:01;2025-11-10 21:03;2,1408;2,1664725000000002;1,19;DOWN;2,1463;VA Breakout;2,1463;0;2,16;2,13;WIN;2;39,0;112,81;Si;Si;3;31;0,5;44.0
40;ADAUSDT;2025-11-10 21:01;2025-11-10 21:02;0,5932;0,5981124999999999;0,82;DOWN;0,5937;VA Breakout;0,5937;0;0,6;0,59;WIN;2;41,0;144,73;Si;Si;2;26;0,4;56.0
41;GALAUSDT;2025-11-10 21:31;2025-11-10 21:32;0,010489;0,010669;1,7;UP;0,01066;VA Breakout;0,01066;0;0,01;0,01;WIN;2;43,0;4,53;Si;Si;2;61;1;57.0
42;SOLUSDT;2025-11-10 22:05;2025-11-10 22:16;169,5685;170,91975;0,79;UP;170,77;VA Breakout;170,77;0;169,85;171,69;WIN;2;45,0;1,21;No;No;12;34;0,6;66.0
43;SOLUSDT;2025-11-10 22:29;2025-11-10 22:36;170,85165;171,92715;0,63;DOWN;170,8;VA Breakout;170,8;0;171,73;169,87;WIN;2;47,0;111,28;Si;Si;8;23;0,4;66.0
44;BTCUSDT;2025-11-10 22:35;2025-11-10 22:38;106408,72450000001;107062,3;0,61;DOWN;106638;VA Breakout;106638;0;106816,76;106459,24;WIN;2;49,0;261,53;Si;Si;4;57;0,9;64.0
45;ETHUSDT;2025-11-10 22:35;2025-11-10 23:18;3606,2346999999995;3634,6879000000004;0,79;DOWN;3610,07;VA Breakout;3610,07;0;3635,54;3584,6;WIN;2;51,0;73,4;Si;Si;44;48;0,8;64.0
46;ETHUSDT;2025-11-10 23:10;2025-11-10 23:11;3597,4431999999997;3614,0610999999994;0,46;DOWN;3601,28;VA Breakout;3601,28;0;3608,47;3594,09;WIN;2;53,0;258,96;Si;Si;2;36;0,6;65.0
