sep=;
# Multi-simbolo: ETHUSDT, XRPUSDT, BTCUSDT, TRXUSDT, GALAUSDT, SUIUSDT, TRBUSDT, SOLUSDT, ADAUSDT, DOGEUSDT
# Parametros: {"detection_method": "atr_dynamic", "consol_min_bars": 8, "consol_max_bars": 50, "consol_max_range_pct": 6, "consol_atr_ratio": 0.6, "consol_body_ratio": 0.5, "consol_max_outside_bars": 3, "lookforward_bars": 100, "max_price_range_pct": 6, "entry_mode": "va_breakout", "position_mode": "concurrent", "swing_bars": 5, "sl_mode": "zone_opposite", "atr_dyn_period": 100, "atr_dyn_ma_period": 20, "atr_dyn_multiplier": 1.5, "atr_dyn_min_bars": 20, "atr_dyn_max_breakout": 5, "atr_dyn_merge_overlap": true, "use_atr_band": false, "atr_band_period": 200, "atr_band_multiplier": 1, "atr_band_ma_period": 20, "use_reentry": true, "max_reentry_bars": 3, "use_ttm_prefilter": true, "ttm_atr_length": 30, "ttm_kc_multiplier": 1, "ttm_min_squeeze_bars": 10, "use_bbwp_scoring": false, "bbwp_lookback": 252, "bbwp_squeeze_threshold": 20, "use_inside_pct_filter": false, "min_inside_pct": 70, "min_score_filter": 30, "use_continuation_score": false, "sl_poc_buffer_pct": 50, "vp_bins_per_zone": 30, "tp_rr_ratio": 1}
# Fecha: 2026-02-08T08:53:30.852824
zona_num;simbolo;fecha_entrada;fecha_cierre;precio_min;precio_max;rango_pct;direccion;precio_breakout;modo_entrada;precio_entrada;offset_barras;sl_price;tp_price;resultado;pnl_r;equity_r;r_multiple;alcanzo_2r;alcanzo_3r;barras_cierre;velas_en_zona;duracion_horas;score
21;ETHUSDT;2026-02-01 14:45;2026-02-01 15:40;2329,7592500000005;2363,70195;1,45;DOWN;2322,38;VA Breakout;2322,38;0;2347,61;2297,15;LOSS;-1,0;27,0;23,07;Si;Si;56;82;1,4;61.0
22;GALAUSDT;2026-02-01 14:45;2026-02-01 14:56;0,004729515;0,00479795;1,44;DOWN;0,004735;VA Breakout;0,004735;0;0,0;0,0;WIN;2,0;29,0;52,74;Si;Si;12;84;1,4;60.0
23;SUIUSDT;2026-02-01 14:45;2026-02-01 15:26;1,1134499999999998;1,1289765;1,38;DOWN;1,1139;VA Breakout;1,1139;0;1,12;1,1;WIN;2,0;31,0;32,6;Si;Si;42;84;1,4;60.0
24;TRBUSDT;2026-02-01 14:45;2026-02-01 15:27;16,0;16,131659999999997;0,82;DOWN;15,967;VA Breakout;15,967;0;16,13;15,8;WIN;2,0;33,0;23,61;Si;Si;43;59;1,0;63.0
25;ADAUSDT;2026-02-01 14:45;2026-02-01 15:27;0,28747;0,29139849999999995;1,36;DOWN;0,2869;VA Breakout;0,2869;0;0,29;0,28;WIN;2,0;35,0;28,99;Si;Si;43;82;1,4;61.0
26;SOLUSDT;2026-02-01 15:24;2026-02-01 15:26;101,13;102,01205;0,87;DOWN;101,1;VA Breakout;101,1;0;101,46;100,74;WIN;2,0;37,0;93,86;Si;Si;3;38;0,6;63.0
27;TRBUSDT;2026-02-01 15:25;2026-02-01 15:26;15,861;15,963;0,64;DOWN;15,892;VA Breakout;15,892;0;15,93;15,86;WIN;2,0;39,0;107,64;Si;Si;2;39;0,6;53.0
28;SUIUSDT;2026-02-01 15:26;2026-02-01 15:36;1,1066;1,1141;0,68;DOWN;1,1035;VA Breakout;1,1035;0;1,11;1,09;LOSS;-1,0;38,0;29,57;Si;Si;11;39;0,6;64.0
29;ADAUSDT;2026-02-01 15:26;2026-02-01 15:36;0,2855235;0,2875;0,69;DOWN;0,285;VA Breakout;0,285;0;0,29;0,28;LOSS;-1,0;37,0;30,63;Si;Si;11;41;0,7;64.0
30;XRPUSDT;2026-02-01 15:36;2026-02-01 15:40;1,5827;1,5965645;0,87;UP;1,5996;VA Breakout;1,5996;0;1,59;1,61;WIN;2,0;39,0;5,52;Si;Si;5;35;0,6;63.0
31;DOGEUSDT;2026-02-01 16:34;2026-02-01 16:36;0,10329874999999998;0,10404540000000001;0,72;UP;0,10394;VA Breakout;0,10394;0;0,1;0,1;WIN;2,0;41,0;14,55;Si;Si;3;30;0,5;64.0
32;SUIUSDT;2026-02-01 16:35;2026-02-01 16:45;1,100374;1,1082850000000002;0,72;UP;1,1088;VA Breakout;1,1088;0;1,1;1,12;LOSS;-1,0;40,0;8,34;Si;Si;11;22;0,3;63.0
33;SOLUSDT;2026-02-01 16:35;2026-02-01 17:09;100,14495000000001;100,89104999999999;0,74;UP;101,05;VA Breakout;101,05;0;100,3;101,8;WIN;2,0;42,0;6,72;Si;Si;35;21;0,3;63.0
34;ADAUSDT;2026-02-01 16:35;2026-02-01 16:56;0,2849115;0,28685600000000006;0,68;UP;0,2871;VA Breakout;0,2871;0;0,29;0,29;LOSS;-1,0;41,0;8,54;Si;Si;22;31;0,5;64.0
35;ETHUSDT;2026-02-01 16:55;2026-02-01 17:08;2290,0849999999996;2318,83;1,25;DOWN;2288,95;VA Breakout;2288,95;0;2303,37;2274,53;LOSS;-1,0;40,0;38,05;Si;Si;14;50;0,8;62.0
36;SUIUSDT;2026-02-01 17:08;2026-02-01 17:11;1,1005475000000002;1,1094574999999998;0,81;UP;1,1087;VA Breakout;1,1087;0;1,1;1,12;WIN;2,0;42,0;7,78;Si;Si;4;28;0,5;57.0
37;SOLUSDT;2026-02-01 17:08;2026-02-01 17:10;100,51;101,62389999999999;1,1;UP;101,54;VA Breakout;101,54;0;101,09;101,99;WIN;2,0;44,0;10,15;Si;Si;3;33;0,5;51.0
38;ADAUSDT;2026-02-01 17:08;2026-02-01 17:11;0,2851535;0,287251;0,73;UP;0,287;VA Breakout;0,287;0;0,29;0,29;WIN;2,0;46,0;11,19;Si;Si;4;28;0,5;51.0
39;DOGEUSDT;2026-02-01 17:08;2026-02-01 17:11;0,10336064999999998;0,10420460000000001;0,81;UP;0,10412;VA Breakout;0,10412;0;0,1;0,1;WIN;2,0;48,0;10,33;Si;Si;4;28;0,5;51.0
40;XRPUSDT;2026-02-01 17:09;2026-02-01 17:11;1,5822;1,597218;0,94;UP;1,5952;VA Breakout;1,5952;0;1,59;1,6;WIN;2,0;50,0;7,27;Si;Si;3;66;1,1;49.0
41;GALAUSDT;2026-02-01 17:11;2026-02-01 18:02;0,004682;0,004742;1,27;UP;0,004754;VA Breakout;0,004754;0;0,0;0,0;LOSS;-1,0;49,0;3,64;Si;Si;52;69;1,1;61.0
42;ETHUSDT;2026-02-01 18:00;2026-02-01 18:02;2308,6121;2328,7899;0,87;DOWN;2310,27;VA Breakout;2310,27;0;2321,1;2299,44;WIN;2,0;51,0;52,62;Si;Si;3;32;0,5;63.0
43;SOLUSDT;2026-02-01 18:00;2026-02-01 18:05;101,52565;102,41915;0,88;DOWN;101,35;VA Breakout;101,35;0;102,25;100,45;WIN;2,0;53,0;37,81;Si;Si;6;31;0,5;62.0
44;DOGEUSDT;2026-02-01 18:00;2026-02-01 18:01;0,1044543;0,10531595;0,82;DOWN;0,10436;VA Breakout;0,10436;0;0,1;0,1;WIN;2,0;55,0;40,15;Si;Si;2;31;0,5;62.0
45;BTCUSDT;2026-02-01 18:04;2026-02-01 18:05;76956,6;77595,36950000002;0,83;DOWN;77030,7;VA Breakout;77030,7;0;77443,89;76617,51;WIN;2,0;57,0;41,49;Si;Si;2;34;0,6;57.0
46;TRXUSDT;2026-02-01 19:58;2026-02-01 19:59;0,28478715;0,2854149;0,22;DOWN;0,28494;VA Breakout;0,28494;0;0,29;0,28;WIN;2,0;59,0;221,28;Si;Si;2;51;0,8;52.0
47;ETHUSDT;2026-02-01 20:07;2026-02-01 22:11;2285,3633;2329,2841;1,9;DOWN;2285,87;VA Breakout;2285,87;0;2323,96;2247,78;WIN;2,0;61,0;14,32;Si;Si;125;52;0,8;59.0
48;BTCUSDT;2026-02-01 20:07;2026-02-01 20:13;77405,38299999999;78215,82749999998;1,04;DOWN;77471,8;VA Breakout;77471,8;0;78094,14;76849,46;WIN;2,0;63,0;28,25;Si;Si;7;60;1,0;62.0
49;GALAUSDT;2026-02-01 20:07;2026-02-01 20:12;0,0047538599999999995;0,004821715;1,42;DOWN;0,004754;VA Breakout;0,004754;0;0,0;0,0;WIN;2,0;65,0;34,02;Si;Si;6;48;0,8;61.0
50;SUIUSDT;2026-02-01 20:07;2026-02-01 20:12;1,1091199999999999;1,1286975000000001;1,75;DOWN;1,1135;VA Breakout;1,1135;0;1,12;1,1;WIN;2,0;67,0;29,47;Si;Si;6;59;1,0;59.0
51;TRBUSDT;2026-02-01 20:07;2026-02-01 20:18;15,90331;16,140015;1,48;DOWN;15,925;VA Breakout;15,925;0;16,06;15,79;LOSS;-1,0;66,0;28,22;Si;Si;12;56;0,9;61.0
52;ADAUSDT;2026-02-01 20:07;2026-02-01 20:15;0,2884795;0,29233650000000005;1,33;DOWN;0,2884;VA Breakout;0,2884;0;0,29;0,29;WIN;2,0;68,0;21,99;Si;Si;9;51;0,8;62.0
53;DOGEUSDT;2026-02-01 20:09;2026-02-01 20:23;0,10322;0,10629969999999997;2,94;DOWN;0,10426;VA Breakout;0,10426;0;0,11;0,1;LOSS;-1,0;67,0;23,47;Si;Si;15;95;1,6;55.0
54;XRPUSDT;2026-02-01 20:10;2026-02-01 22:16;1,5777;1,6200995;2,65;DOWN;1,5894;VA Breakout;1,5894;0;1,62;1,56;WIN;2,0;69,0;15,89;Si;Si;127;90;1,5;55.0
55;SOLUSDT;2026-02-01 20:11;2026-02-01 20:29;99,61;102,98804999999999;3,33;DOWN;100,96;VA Breakout;100,96;0;103,06;98,86;LOSS;-1,0;68,0;16,05;Si;Si;19;90;1,5;36.0
56;TRBUSDT;2026-02-01 21:27;2026-02-01 21:35;16,0;16,22842;1,42;UP;16,189;VA Breakout;16,189;0;16,08;16,3;LOSS;-1,0;67,0;4,63;Si;Si;9;60;1,0;61.0
57;BTCUSDT;2026-02-01 21:56;2026-02-01 22:15;76605,7;77888,5305;1,66;DOWN;76623,0;VA Breakout;76623,0;0;77479,41;75766,59;WIN;2,0;69,0;19,54;Si;Si;20;95;1,6;34.0
58;SUIUSDT;2026-02-01 22:09;2026-02-01 22:21;1,1050245;1,1314459999999997;2,36;DOWN;1,1068;VA Breakout;1,1068;0;1,13;1,08;WIN;2,0;71,0;11,47;Si;Si;13;108;1,8;33.0
59;DOGEUSDT;2026-02-01 22:09;2026-02-01 22:21;0,1033915;0,10610220000000002;2,59;DOWN;0,10371;VA Breakout;0,10371;0;0,11;0,1;WIN;2,0;73,0;9,31;Si;Si;13;107;1,8;31.0
60;ETHUSDT;2026-02-02 00:05;2026-02-02 00:26;2229,7708500000003;2272,8718999999996;1,91;DOWN;2232,24;VA Breakout;2232,24;0;2271,47;2193,01;WIN;2,0;75,0;12,54;Si;Si;22;44;0,7;59.0
61;TRXUSDT;2026-02-02 00:05;2026-02-02 00:09;0,2825622;0,28312954999999995;0,2;DOWN;0,28266;VA Breakout;0,28266;0;0,28;0,28;WIN;2,0;77,0;44,35;Si;Si;5;29;0,5;67.0
62;DOGEUSDT;2026-02-02 00:05;2026-02-02 00:26;0,10297;0,10508315000000001;2,03;DOWN;0,10301;VA Breakout;0,10301;0;0,11;0,1;WIN;2,0;79,0;11,5;Si;Si;22;41;0,7;58.0
63;BTCUSDT;2026-02-02 00:14;2026-02-02 02:09;75422,9;76628,64600000001;1,59;DOWN;75481,1;VA Breakout;75481,1;0;76808,68;74153,52;LOSS;-1,0;78,0;11,75;Si;Si;116;53;0,9;45.0
64;BTCUSDT;2026-02-02 01:14;2026-02-02 01:37;74856,2;75650,928;1,06;UP;75595,5;VA Breakout;75595,5;0;75006,88;76184,12;LOSS;-1,0;77,0;6,44;Si;Si;24;60;1,0;58.0
65;SOLUSDT;2026-02-02 01:15;2026-02-02 01:16;97,53;98,74;1,23;UP;98,65;VA Breakout;98,65;0;97,94;99,36;WIN;2,0;79,0;10,46;Si;Si;2;37;0,6;44.0
