2026-01-24 01:23:58 | SENT | HTTP 200 | TRBUSDT | Double Bottom (ABRIR LONG) | $20.09 | 65.8%
2026-01-24 01:24:59 | SENT | HTTP 200 | SOLUSDT | Double Bottom (ABRIR LONG) | $127.46 | 76.7%
2026-01-24 01:25:57 | SENT | HTTP 200 | SUIUSDT | Double Bottom (ABRIR LONG) | $1.49 | 83.4%
2026-01-24 01:26:57 | SENT | HTTP 200 | DOGEUSDT | Double Top (ABRIR SHORT) | $0.12 | 76.7%
2026-01-24 01:27:57 | SENT | HTTP 200 | BNBUSDT | Double Bottom (ABRIR LONG) | $889.00 | 75.0%
2026-01-24 01:29:01 | SENT | HTTP 200 | POLUSDT | Double Bottom (ABRIR LONG) | $0.13 | 70.0%
2026-01-24 01:48:58 | SENT | HTTP 200 | ADAUSDT | Double Top (ABRIR SHORT) | $0.36 | 68.8%
2026-01-24 01:50:59 | SENT | HTTP 200 | ETHUSDT | Double Top (ABRIR SHORT) | $2963.45 | 84.2%
2026-01-24 01:53:59 | SENT | HTTP 200 | GALAUSDT | Double Top (ABRIR SHORT) | $0.01 | 71.0%
2026-01-24 01:54:58 | SENT | HTTP 200 | TRBUSDT | Double Top (ABRIR SHORT) | $20.04 | 82.3%
2026-01-24 01:56:00 | SENT | HTTP 200 | SOLUSDT | Double Top (ABRIR SHORT) | $128.02 | 64.8%
2026-01-24 02:01:01 | SENT | HTTP 200 | PAXGUSDT | Double Bottom (ABRIR LONG) | $5017.20 | 76.9%
2026-01-24 02:12:02 | SENT | HTTP 200 | TRXUSDT | Double Bottom (ABRIR LONG) | $0.30 | 68.5%
2026-01-24 02:19:03 | SENT | HTTP 200 | ADAUSDT | Double Bottom (ABRIR LONG) | $0.36 | 73.6%
2026-01-24 02:22:03 | SENT | HTTP 200 | POLUSDT | Double Bottom (ABRIR LONG) | $0.13 | 76.8%
2026-01-24 02:24:02 | SENT | HTTP 200 | GALAUSDT | Double Top (ABRIR SHORT) | $0.01 | 76.8%
2026-01-24 02:31:02 | SENT | HTTP 200 | PAXGUSDT | Double Top (ABRIR SHORT) | $5026.60 | 74.9%
2026-01-24 02:32:01 | SENT | HTTP 200 | BNBUSDT | Double Top (ABRIR SHORT) | $892.00 | 73.4%
2026-01-26 00:45:14 | SENT | HTTP 200 | SOLUSDT | Double Bottom (ABRIR LONG) | $126.56 | 60.7%
2026-01-28 15:22:25 | SENT | HTTP 200 | SUIUSDT | Double Top (ABRIR SHORT) | $1.42 | 74.6%
2026-01-28 15:29:37 | SENT | HTTP 200 | POLUSDT | Double Bottom (ABRIR LONG) | $0.12 | 80.0%
2026-01-28 15:34:38 | SENT | HTTP 200 | TRXUSDT | Double Top (ABRIR SHORT) | $0.29 | 82.1%
2026-01-28 15:42:27 | SENT | HTTP 200 | PAXGUSDT | Double Top (ABRIR SHORT) | $5305.30 | 73.6%
2026-01-28 15:47:26 | SENT | HTTP 200 | SOLUSDT | Double Top (ABRIR SHORT) | $127.09 | 54.0%
2026-01-28 16:03:24 | SENT | HTTP 200 | BNBUSDT | Double Top (ABRIR SHORT) | $904.40 | 68.2%
2026-01-28 17:37:24 | SENT | HTTP 200 | TRBUSDT | Double Top (ABRIR SHORT) | $19.80 | 56.3%
2026-01-28 18:07:26 | SENT | HTTP 200 | TRBUSDT | Double Bottom (ABRIR LONG) | $19.49 | 72.4%
2026-01-28 18:18:26 | SENT | HTTP 200 | SOLUSDT | Double Top (ABRIR SHORT) | $126.62 | 65.2%
2026-01-28 18:31:25 | SENT | HTTP 200 | PAXGUSDT | Double Top (ABRIR SHORT) | $5313.30 | 74.6%
2026-01-28 18:33:01 | SENT | HTTP 200 | DOGEUSDT | Double Bottom (ABRIR LONG) | $0.12 | 73.6%
2026-01-28 19:50:42 | SENT | HTTP 200 | DOGEUSDT | Double Top (ABRIR SHORT) | $0.13 | 84.8%
2026-01-28 19:52:07 | SENT | HTTP 200 | XRPUSDT | Double Bottom (ABRIR LONG) | $1.91 | 76.8%
2026-01-28 19:55:03 | SENT | HTTP 200 | PAXGUSDT | Double Top (ABRIR SHORT) | $5559.70 | 68.3%
2026-01-28 20:20:04 | SENT | HTTP 200 | ADAUSDT | Double Bottom (ABRIR LONG) | $0.36 | 73.1%
2026-01-28 20:21:05 | SENT | HTTP 200 | DOGEUSDT | Double Bottom (ABRIR LONG) | $0.13 | 70.2%
2026-01-28 20:24:05 | SENT | HTTP 200 | TRXUSDT | Double Bottom (ABRIR LONG) | $0.29 | 72.9%
2026-01-28 20:25:08 | SENT | HTTP 200 | SOLUSDT | Double Bottom (ABRIR LONG) | $124.51 | 63.6%
2026-01-28 20:33:05 | SENT | HTTP 200 | BNBUSDT | Double Bottom (ABRIR LONG) | $898.20 | 69.8%
2026-01-28 20:34:03 | SENT | HTTP 200 | TRBUSDT | Double Top (ABRIR SHORT) | $19.34 | 79.4%
2026-01-28 20:55:09 | SENT | HTTP 200 | SOLUSDT | Double Bottom (ABRIR LONG) | $124.01 | 70.3%
2026-01-28 22:41:02 | SENT | HTTP 200 | TRBUSDT | Double Bottom (ABRIR LONG) | $18.90 | 54.7%
2026-01-28 22:42:03 | SENT | HTTP 200 | SUIUSDT | Double Bottom (ABRIR LONG) | $1.38 | 78.4%
2026-01-28 22:43:04 | SENT | HTTP 200 | BNBUSDT | Double Bottom (ABRIR LONG) | $899.60 | 67.9%
2026-01-28 22:44:04 | SENT | HTTP 200 | PAXGUSDT | Double Top (ABRIR SHORT) | $5409.10 | 70.7%
2026-01-28 22:45:18 | SENT | HTTP 200 | POLUSDT | Double Top (ABRIR SHORT) | $0.12 | 66.8%
2026-01-28 22:48:10 | SENT | HTTP 200 | ADAUSDT | Double Top (ABRIR SHORT) | $0.36 | 78.1%
2026-01-28 22:49:06 | SENT | HTTP 200 | DOGEUSDT | Double Top (ABRIR SHORT) | $0.13 | 91.7%
2026-01-28 22:50:20 | SENT | HTTP 200 | ETHUSDT | Double Bottom (ABRIR LONG) | $3010.80 | 60.5%
2026-01-28 22:54:06 | SENT | HTTP 200 | XRPUSDT | Double Top (ABRIR SHORT) | $1.88 | 81.9%
2026-01-28 22:57:36 | SENT | HTTP 200 | SOLUSDT | Double Top (ABRIR SHORT) | $123.20 | 78.3%
2026-01-28 23:12:06 | SENT | HTTP 200 | SUIUSDT | Double Top (ABRIR SHORT) | $1.43 | 89.8%
2026-01-28 23:18:19 | SENT | HTTP 200 | ADAUSDT | Double Top (ABRIR SHORT) | $0.36 | 76.3%
2026-01-28 23:20:05 | SENT | HTTP 200 | DOGEUSDT | Double Bottom (ABRIR LONG) | $0.12 | 65.2%
2026-01-28 23:21:19 | SENT | HTTP 200 | ETHUSDT | Double Top (ABRIR SHORT) | $2958.70 | 63.9%
