ONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.88 (z-score: 5.70, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.88 (z-score: 1.70, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.88 (z-score: 1.57, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.88 (z-score: 1.41, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.88 (z-score: 1.79, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.91 (z-score: 1.05, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.92 (z-score: 1.12, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.92 (z-score: 2.14, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.93 (z-score: 3.23, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.92 (z-score: 8.60, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.93 (z-score: 2.81, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.93 (z-score: 1.25, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.94 (z-score: 4.92, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.94 (z-score: 1.14, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.93 (z-score: 27.23, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.92 (z-score: 2.04, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.91 (z-score: 1.76, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.92 (z-score: 19.11, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.91 (z-score: 4.49, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.93 (z-score: 1.10, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.92 (z-score: 1.19, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.92 (z-score: 1.79, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.93 (z-score: 7.69, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.93 (z-score: 14.05, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.93 (z-score: 2.39, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.92 (z-score: 4.97, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.93 (z-score: 2.41, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.92 (z-score: 3.63, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.92 (z-score: 2.45, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.92 (z-score: 2.74, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.92 (z-score: 2.04, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.93 (z-score: 8.35, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.93 (z-score: 1.15, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.93 (z-score: 1.92, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.93 (z-score: 5.49, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.92 (z-score: 2.12, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.93 (z-score: 1.75, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.93 (z-score: 1.56, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.93 (z-score: 1.78, direction: SHORT)
